ID,neighbourhood,date,buildingType,Tenure,Size,pricePsf,Price,Floors,state,area,latitude,longitude
3287,TAMAN SUNGAI BESI,22/8/2022,FLAT,LEASEHOLD,883,283,250000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3288,TAMAN SUNGAI BESI,29/8/2022,FLAT,LEASEHOLD,883,340,300000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3289,TAMAN SUNGAI BESI,21/10/2022,FLAT,LEASEHOLD,646,310,200000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3290,SALAK SOUTH GARDEN,24/11/2022,FLAT,FREEHOLD,624,240,150000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3291,TAMAN SUNGAI BESI,30/11/2022,FLAT,LEASEHOLD,818,269,220000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3292,SALAK SOUTH GARDEN,16/12/2022,FLAT,FREEHOLD,624,240,150000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3293,TAMAN SUNGAI BESI,20/12/2022,FLAT,LEASEHOLD,883,272,240000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3294,SALAK SOUTH GARDEN,5/1/2023,FLAT,FREEHOLD,710,246,175000,1,kuala-lumpur,salak-south,3.0981912,101.7053393
3295,RESIDENCE 8,21/3/2023,CONDOMINIUM,FREEHOLD,1206,460,555000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3296,RESIDENCE 8,17/3/2023,CONDOMINIUM,FREEHOLD,1335,436,582000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3297,RESIDENCE 8,21/12/2022,CONDOMINIUM,FREEHOLD,1206,415,500000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3298,RESIDENCE 8,1/11/2022,CONDOMINIUM,FREEHOLD,1238,485,600000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3299,RESIDENCE 8,15/9/2022,CONDOMINIUM,FREEHOLD,1378,428,590000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3300,RESIDENCE 8,12/7/2022,CONDOMINIUM,FREEHOLD,1265,451,570000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3301,RESIDENCE 8,26/5/2022,CONDOMINIUM,FREEHOLD,1206,456,550000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3302,PINANG 1C,24/5/2023,APARTMENT,LEASEHOLD,926,270,250000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3303,PINANG 1C,22/5/2023,APARTMENT,LEASEHOLD,926,324,300000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3304,PINANG 1C,25/4/2023,APARTMENT,LEASEHOLD,926,351,325000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3305,PINANG 1C,11/1/2023,APARTMENT,LEASEHOLD,926,367,340000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3306,PINANG 1C,23/9/2022,APARTMENT,LEASEHOLD,926,343,318000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3307,PINANG 1C,4/7/2022,APARTMENT,LEASEHOLD,926,270,250000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3308,BUKIT AWANSARI (OG COURT),3/4/2023,CONDOMINIUM,FREEHOLD,1119,268,300000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3309,BUKIT AWANSARI (OG COURT),24/3/2023,CONDOMINIUM,FREEHOLD,1119,331,370000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3310,BUKIT AWANSARI (OG COURT),9/11/2022,CONDOMINIUM,FREEHOLD,1119,286,320000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3311,BUKIT AWANSARI (OG COURT),7/10/2022,CONDOMINIUM,FREEHOLD,1184,291,345000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3312,BUKIT AWANSARI (OG COURT),30/8/2022,CONDOMINIUM,FREEHOLD,1119,326,365000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3313,BUKIT AWANSARI (OG COURT),8/8/2022,CONDOMINIUM,FREEHOLD,1119,268,300000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3314,BUKIT AWANSARI (OG COURT),27/6/2022,CONDOMINIUM,FREEHOLD,1119,326,365000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3315,288 RESIDENCES,2/3/2023,CONDOMINIUM,FREEHOLD,1216,493,600000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3316,288 RESIDENCES,23/2/2023,CONDOMINIUM,FREEHOLD,1216,371,450700,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3317,288 RESIDENCES,31/1/2023,CONDOMINIUM,FREEHOLD,1442,451,650000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3318,288 RESIDENCES,21/11/2022,CONDOMINIUM,FREEHOLD,1496,501,750000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3319,288 RESIDENCES,8/8/2022,CONDOMINIUM,FREEHOLD,1216,493,600000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3320,288 RESIDENCES,2/8/2022,CONDOMINIUM,FREEHOLD,1440,424,610000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3321,288 RESIDENCES,20/5/2022,CONDOMINIUM,FREEHOLD,1485,404,600000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3322,288 RESIDENCES,27/4/2022,CONDOMINIUM,FREEHOLD,1216,410,498000,1,kuala-lumpur,old-klang-road,3.0814781,101.6516039
3323,KIARAMAS SUTERA,16/3/2023,CONDOMINIUM,FREEHOLD,1897,580,1100000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3324,KIARAMAS SUTERA,6/3/2023,CONDOMINIUM,FREEHOLD,3670,395,1450000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3325,KIARAMAS SUTERA,20/12/2022,CONDOMINIUM,FREEHOLD,1841,489,900000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3326,KIARAMAS SUTERA,7/10/2022,CONDOMINIUM,FREEHOLD,1905,525,1000000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3327,KIARAMAS SUTERA,27/7/2022,CONDOMINIUM,FREEHOLD,1668,600,1001000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3328,KIARAMAS SUTERA,6/7/2022,CONDOMINIUM,FREEHOLD,1647,557,918000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3329,KIARA 1888,27/2/2023,CONDOMINIUM,FREEHOLD,1636,611,1000000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3330,KIARA 1888,25/1/2023,CONDOMINIUM,FREEHOLD,3983,485,1930000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3331,KIARA 1888,5/12/2022,CONDOMINIUM,FREEHOLD,1927,571,1100000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3332,KIARA 1888,4/11/2022,CONDOMINIUM,FREEHOLD,1238,687,850000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3333,KIARA 1888,20/9/2022,CONDOMINIUM,FREEHOLD,2379,504,1200000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3334,KIARA 1888,26/7/2022,CONDOMINIUM,FREEHOLD,1238,645,798000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3335,KIARA 1888,21/4/2022,CONDOMINIUM,FREEHOLD,2357,467,1100000,1,kuala-lumpur,mont-kiara,3.1699988,101.6521467
3336,VIPOD SUITES,21/3/2023,SERVICE RESIDENCE,FREEHOLD,657,1218,800000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3337,VIPOD SUITES,14/2/2023,SERVICE RESIDENCE,FREEHOLD,657,1164,765000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3338,VIPOD SUITES,14/11/2022,SERVICE RESIDENCE,FREEHOLD,1206,1078,1300000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3339,VIPOD SUITES,26/9/2022,SERVICE RESIDENCE,FREEHOLD,657,1370,900000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3340,VIPOD SUITES,15/9/2022,SERVICE RESIDENCE,FREEHOLD,1206,978,1180000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3341,VIPOD SUITES,23/8/2022,SERVICE RESIDENCE,FREEHOLD,657,1339,880000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3342,VILLA PUTERI CONDO,30/3/2023,CONDOMINIUM,FREEHOLD,1023,411,420000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3343,VILLA PUTERI CONDO,24/2/2023,CONDOMINIUM,FREEHOLD,1109,225,250000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3344,VILLA PUTERI CONDO,14/2/2023,CONDOMINIUM,FREEHOLD,1399,511,715000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3345,VILLA PUTERI CONDO,14/12/2022,CONDOMINIUM,FREEHOLD,3692,474,1750000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3346,VILLA PUTERI CONDO,8/11/2022,CONDOMINIUM,FREEHOLD,721,1387,1000000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3347,VILLA PUTERI CONDO,23/8/2022,CONDOMINIUM,FREEHOLD,1087,428,465000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3348,VILLA PUTERI CONDO,30/6/2022,CONDOMINIUM,FREEHOLD,1399,429,600000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3349,VILLA PUTERI CONDO,24/6/2022,CONDOMINIUM,FREEHOLD,1087,184,200000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3350,VILLA PUTERI CONDO,13/6/2022,CONDOMINIUM,FREEHOLD,1109,392,435000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3351,VILLA PUTERI CONDO,10/6/2022,CONDOMINIUM,FREEHOLD,1399,429,600000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3352,VILLA PUTERI CONDO,6/5/2022,CONDOMINIUM,FREEHOLD,1087,460,500000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3353,VILLA PUTERI CONDO,8/4/2022,CONDOMINIUM,FREEHOLD,1184,355,420000,1,kuala-lumpur,kl-city-centre,3.1466,101.6958
3354,TERATAI MEWAH CONDOMINIUM,17/1/2023,CONDOMINIUM,FREEHOLD,926,410,380000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3355,TERATAI MEWAH CONDOMINIUM,25/11/2022,CONDOMINIUM,FREEHOLD,1152,391,450000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3356,TERATAI MEWAH CONDOMINIUM,17/8/2022,CONDOMINIUM,FREEHOLD,1033,329,340000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3357,TERATAI MEWAH CONDOMINIUM,3/8/2022,CONDOMINIUM,FREEHOLD,926,342,317000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3358,TERATAI MEWAH CONDOMINIUM,25/7/2022,CONDOMINIUM,FREEHOLD,936,358,335000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3359,TERATAI MEWAH CONDOMINIUM,5/7/2022,CONDOMINIUM,FREEHOLD,926,421,390000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3360,TERATAI MEWAH CONDOMINIUM,22/6/2022,CONDOMINIUM,FREEHOLD,936,353,330000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3361,TERATAI MEWAH CONDOMINIUM,15/4/2022,CONDOMINIUM,FREEHOLD,926,389,360000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3362,TERATAI MEWAH CONDOMINIUM,31/3/2022,CONDOMINIUM,FREEHOLD,926,346,320000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3363,SETAPAK RIA,10/4/2023,CONDOMINIUM,FREEHOLD,1163,310,360000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3364,SETAPAK RIA,10/4/2023,CONDOMINIUM,FREEHOLD,1270,24,30000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3365,SETAPAK RIA,7/11/2022,CONDOMINIUM,FREEHOLD,883,368,325000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3366,SETAPAK RIA,25/8/2022,CONDOMINIUM,FREEHOLD,1163,301,350000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3367,SETAPAK RIA,22/8/2022,CONDOMINIUM,FREEHOLD,1163,172,200000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3368,SETAPAK RIA,18/8/2022,CONDOMINIUM,FREEHOLD,1249,272,340000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3369,SETAPAK RIA,8/6/2022,CONDOMINIUM,FREEHOLD,1292,259,335000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3370,RESIDENSI RAMPAI 2 (RUMAWIP),22/11/2022,APARTMENT,LEASEHOLD,947,475,450000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3371,RESIDENSI RAMPAI 2 (RUMAWIP),8/9/2022,APARTMENT,LEASEHOLD,947,484,458000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3372,RESIDENSI RAMPAI 2 (RUMAWIP),1/9/2022,APARTMENT,LEASEHOLD,947,475,450000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3373,RESIDENSI RAMPAI 2 (RUMAWIP),16/8/2022,APARTMENT,LEASEHOLD,947,465,440000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3374,RESIDENSI RAMPAI 2 (RUMAWIP),25/7/2022,APARTMENT,LEASEHOLD,947,459,435000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3375,RESIDENSI RAMPAI 2 (RUMAWIP),25/7/2022,APARTMENT,LEASEHOLD,947,484,458000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3376,RESIDENSI RAMPAI 2 (RUMAWIP),27/4/2022,APARTMENT,LEASEHOLD,950,495,470000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3377,RESIDENSI ASCENDA,28/12/2022,CONDOMINIUM,LEASEHOLD,1098,552,606000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3378,RESIDENSI ASCENDA,1/12/2022,CONDOMINIUM,LEASEHOLD,1098,474,520000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3379,RESIDENSI ASCENDA,17/11/2022,CONDOMINIUM,LEASEHOLD,1098,483,530000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3380,RESIDENSI ASCENDA,29/9/2022,CONDOMINIUM,LEASEHOLD,904,531,480000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3381,RESIDENSI ASCENDA,26/9/2022,CONDOMINIUM,LEASEHOLD,1001,579,580000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3382,RESIDENSI ASCENDA,6/9/2022,CONDOMINIUM,LEASEHOLD,1098,464,510000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3383,RESIDENSI ASCENDA,10/6/2022,CONDOMINIUM,LEASEHOLD,1206,357,430000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3384,RESIDENSI ASCENDA,23/3/2022,CONDOMINIUM,LEASEHOLD,1195,458,547000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3385,RESIDENSI ASCENDA,15/2/2022,CONDOMINIUM,LEASEHOLD,1195,477,570000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3386,RESIDENSI ASCENDA,15/2/2022,CONDOMINIUM,LEASEHOLD,1001,480,480000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3387,RESIDENSI ASCENDA,14/2/2022,CONDOMINIUM,LEASEHOLD,1098,446,490000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3388,RESIDENSI ASCENDA,19/1/2022,CONDOMINIUM,LEASEHOLD,1098,442,485000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3389,PLATINUM LAKE PV21,22/11/2022,SERVICE RESIDENCE,LEASEHOLD,1313,369,485000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3390,PLATINUM LAKE PV21,30/9/2022,SERVICE RESIDENCE,LEASEHOLD,1001,500,500000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3391,PLATINUM LAKE PV21,14/9/2022,SERVICE RESIDENCE,LEASEHOLD,1033,445,460000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3392,PLATINUM LAKE PV21,29/7/2022,SERVICE RESIDENCE,LEASEHOLD,1033,465,480000,1,kuala-lumpur,setapak,3.1975774,101.7139655
3393,PLATINUM LAKE PV21,27/7/2022,SERVICE RESIDENCE,LEASEHOLD,883,411,363000,1,kuala-lumpur,setapak,3.1975774,101.7139655
