ID,neighbourhood,date,buildingType,Tenure,Size,pricePsf,Price,Floors,state,area,latitude,longitude
3425,KONDOMINIUM RAFFLESIA,16/3/2023,CONDOMINIUM,LEASEHOLD,1238,323,400000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3426,KONDOMINIUM RAFFLESIA,16/3/2023,CONDOMINIUM,LEASEHOLD,1238,323,400000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3427,KONDOMINIUM RAFFLESIA,22/2/2023,CONDOMINIUM,LEASEHOLD,1066,394,420000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3428,KONDOMINIUM RAFFLESIA,16/11/2022,CONDOMINIUM,LEASEHOLD,1066,468,499000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3429,KONDOMINIUM RAFFLESIA,31/10/2022,CONDOMINIUM,LEASEHOLD,1367,322,440000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3430,KONDOMINIUM RAFFLESIA,3/10/2022,CONDOMINIUM,LEASEHOLD,1238,485,600000,1,kuala-lumpur,sentul,3.1785862,101.6955056
3431,VILLA CRYSTAL,7/4/2023,CONDOMINIUM,FREEHOLD,1152,564,650000,1,kuala-lumpur,segambut,3.1864418,101.6641964
3432,VILLA CRYSTAL,27/3/2023,CONDOMINIUM,FREEHOLD,1302,653,850000,1,kuala-lumpur,segambut,3.1864418,101.6641964
3433,VILLA CRYSTAL,17/3/2023,CONDOMINIUM,FREEHOLD,1615,452,730000,1,kuala-lumpur,segambut,3.1864418,101.6641964
3434,VILLA CRYSTAL,27/2/2023,CONDOMINIUM,FREEHOLD,1615,463,748000,1,kuala-lumpur,segambut,3.1864418,101.6641964
3435,VILLA CRYSTAL,17/1/2023,CONDOMINIUM,FREEHOLD,1152,512,590000,1,kuala-lumpur,segambut,3.1864418,101.6641964
3436,VILLA CRYSTAL,16/12/2022,CONDOMINIUM,FREEHOLD,1615,365,590000,1,kuala-lumpur,segambut,3.1864418,101.6641964
